,Title,Link
0,Web Scraping for Beginners | Web Scraping an E-Commerce Platform | Python Tutorial | Part -1,https://www.youtube.com/watch?v=cs5xL3ZDPh4
1,Web Scraping for Beginners | Web Scraping an E-Commerce Platform | Python Tutorial | Part - 2,https://www.youtube.com/watch?v=A2jaC_QxbvM
2,Web Scraping using Python | Part - 1 | Data Gathering in Python,https://www.youtube.com/watch?v=WTyR1jGmNJs
3,Web Scraping using Python | Part - 2 | Data Gathering in Python,https://www.youtube.com/watch?v=nMV7QxKdN4A
4,Web Scraping product reviews from Amazon - Part -1,https://www.youtube.com/watch?v=tW2GN4kkqlg
5,Web Scraping product reviews from Amazon - Part -2,https://www.youtube.com/watch?v=v2uvS2vrHvM
6,LinkedIN Scraping using Python (Selenium) | Web Scraping for Beginners,https://www.youtube.com/watch?v=mmCkqq_IX-o
7,Web Scraping Indeed using Python [Selenium],https://www.youtube.com/watch?v=QOtjZHYnopk
8,Web Scraping Real Estate Website using Python [Selenium] | Beginners Web Scraping Guide | Python,https://www.youtube.com/watch?v=6QwwkGUZ9q4
9,Web Scraping for Beginners,https://www.youtube.com/watch?v=esWoMBasdYA
10,Gmail Automated Email Sender | Mass Mailing using Python | Selenium | Mail Sender,https://www.youtube.com/watch?v=AvsKCjts2A4
